epoch,loss
0,0.026671059636444915
1,0.017038013193507603
2,0.015449510912521634
3,0.014280933995903222
4,0.013112939601013776
5,0.012011301372779764
6,0.011143071574842737
7,0.00965644323311159
8,0.00876821397456794
9,0.008180828221823621
10,0.007637948331028826
11,0.006918831593972611
12,0.006727775783466449
13,0.006348046177280322
14,0.005894264843866703
15,0.005942098451811924
16,0.005560453618734659
17,0.005221615947361877
18,0.004889599397795129
19,0.004722619834883229
20,0.004602924332598751
21,0.004633396268762705
22,0.00440592209019908
23,0.004029317140095989
24,0.004088857322798743
25,0.004009745141169752
26,0.003927470475938012
27,0.00401976347774579
28,0.0038550371166793714
29,0.003769849719685952
30,0.003692945586847831
31,0.0038827893738553445
32,0.0038322986579114172
33,0.0039044242381888923
34,0.0037472253868236723
35,0.003558587420025922
36,0.003661936655481546
37,0.003429355885120519
38,0.0033579080347364773
39,0.0033738541216915604
40,0.0033634692437717047
41,0.0032980117370779195
42,0.003379219207318663
43,0.0033793708623489067
44,0.0033795546625980137
45,0.0033483175149969934
46,0.0034557099418726115
47,0.0036736130907301765
48,0.0035600972767482228
49,0.003538453369261265
50,0.0033837165608661844
51,0.0033184773686505417
52,0.003301383248475397
53,0.0033242611222365844
54,0.003294855532599285
55,0.0032599205813934264
56,0.0031911905920620318
57,0.003078266173239911
58,0.003078990532122887
59,0.003037273672882238
60,0.0030260003536331883
61,0.0030202242017047104
62,0.0030231778751928177
63,0.0030610515303090232
64,0.0029770549170642295
65,0.0030664637420256043
66,0.0031108550441270753
67,0.003021204766996032
68,0.0030807149102594165
69,0.003037616570054106
70,0.003112880904068571
71,0.003111027412281123
72,0.0030693932759233893
73,0.0031046257578527603
74,0.0031201501013676143
75,0.0031245899820811205
76,0.0030570904546284947
77,0.0029777438113873307
78,0.002902943592033618
79,0.002957389219605677
80,0.0030325661497251923
81,0.002982751377079097
82,0.0028924102550768804
83,0.002939161659513601
84,0.0029793428495164414
85,0.003004270232007132
86,0.003005958337460489
87,0.002957075074652571
88,0.0029373583913385945
89,0.0029631216688942716
90,0.002953736674351019
91,0.003017526517851591
92,0.0029646564120685143
93,0.0029287592166211637
94,0.0028840299658933637
95,0.0029286818800838697
96,0.002978679254106507
97,0.0029556435920666197
98,0.002970345016295365
99,0.003009264293653454
